category_slug,category_name,category_icon,product_slug,product_name,product_description,variant_sku,format,paper_type,paper_weight,print_sides,finish,lead_time_days,qty_50_cost,qty_100_cost,qty_250_cost,qty_500_cost,qty_1000_cost,qty_2500_cost,qty_5000_cost,margin_percent
cartes-visite,Cartes de visite,📇,cartes-visite-standard,Cartes de visite standard,"Format classique 85x55mm, idéal pour les professionnels",CV-STD-001,85x55mm,Couché mat,300g,RECTO,Sans finition,5,8.50,7.20,5.80,4.50,3.20,2.50,2.00,55
cartes-visite,Cartes de visite,📇,cartes-visite-standard,Cartes de visite standard,"Format classique 85x55mm, idéal pour les professionnels",CV-STD-002,85x55mm,Couché mat,300g,RECTO_VERSO,Sans finition,5,10.50,8.90,7.20,5.60,4.00,3.10,2.50,55
cartes-visite,Cartes de visite,📇,cartes-visite-standard,Cartes de visite standard,"Format classique 85x55mm, idéal pour les professionnels",CV-STD-003,85x55mm,Couché brillant,300g,RECTO,Sans finition,5,8.50,7.20,5.80,4.50,3.20,2.50,2.00,55
cartes-visite,Cartes de visite,📇,cartes-visite-standard,Cartes de visite standard,"Format classique 85x55mm, idéal pour les professionnels",CV-STD-004,85x55mm,Couché brillant,300g,RECTO_VERSO,Sans finition,5,10.50,8.90,7.20,5.60,4.00,3.10,2.50,55
cartes-visite,Cartes de visite,📇,cartes-visite-premium,Cartes de visite premium,"Papier épais 350g avec finitions haut de gamme",CV-PRM-001,85x55mm,Couché mat,350g,RECTO_VERSO,Pelliculage mat,6,14.00,11.90,9.60,7.50,5.30,4.10,3.30,60
cartes-visite,Cartes de visite,📇,cartes-visite-premium,Cartes de visite premium,"Papier épais 350g avec finitions haut de gamme",CV-PRM-002,85x55mm,Couché mat,350g,RECTO_VERSO,Pelliculage brillant,6,14.00,11.90,9.60,7.50,5.30,4.10,3.30,60
cartes-visite,Cartes de visite,📇,cartes-visite-premium,Cartes de visite premium,"Papier épais 350g avec finitions haut de gamme",CV-PRM-003,85x55mm,Couché mat,350g,RECTO_VERSO,Vernis sélectif,7,18.00,15.30,12.40,9.60,6.80,5.30,4.20,65
cartes-visite,Cartes de visite,📇,cartes-visite-creatives,Cartes de visite créatives,"Formats originaux et papiers spéciaux",CV-CRE-001,55x55mm,Couché mat,350g,RECTO_VERSO,Pelliculage mat,7,12.00,10.20,8.20,6.40,4.50,3.50,2.80,60
cartes-visite,Cartes de visite,📇,cartes-visite-creatives,Cartes de visite créatives,"Formats originaux et papiers spéciaux",CV-CRE-002,90x50mm,Couché mat,350g,RECTO_VERSO,Pelliculage mat,7,13.00,11.00,8.90,6.90,4.90,3.80,3.00,60
cartes-visite,Cartes de visite,📇,cartes-visite-creatives,Cartes de visite créatives,"Formats originaux et papiers spéciaux",CV-CRE-003,85x55mm,Kraft naturel,300g,RECTO_VERSO,Sans finition,7,11.00,9.40,7.60,5.90,4.20,3.20,2.60,55
flyers,Flyers,📄,flyers-a6,Flyers A6,"Petit format idéal pour distribution de masse",FLY-A6-001,A6 (105x148mm),Couché brillant,135g,RECTO,Sans finition,4,12.00,10.20,8.20,6.40,4.50,3.50,2.80,50
flyers,Flyers,📄,flyers-a6,Flyers A6,"Petit format idéal pour distribution de masse",FLY-A6-002,A6 (105x148mm),Couché brillant,135g,RECTO_VERSO,Sans finition,4,15.00,12.80,10.30,8.00,5.70,4.40,3.50,50
flyers,Flyers,📄,flyers-a6,Flyers A6,"Petit format idéal pour distribution de masse",FLY-A6-003,A6 (105x148mm),Couché mat,170g,RECTO,Sans finition,4,14.00,11.90,9.60,7.50,5.30,4.10,3.30,50
flyers,Flyers,📄,flyers-a6,Flyers A6,"Petit format idéal pour distribution de masse",FLY-A6-004,A6 (105x148mm),Couché mat,170g,RECTO_VERSO,Sans finition,4,17.00,14.50,11.70,9.10,6.40,5.00,4.00,50
flyers,Flyers,📄,flyers-a5,Flyers A5,"Format polyvalent pour prospectus et promotions",FLY-A5-001,A5 (148x210mm),Couché brillant,135g,RECTO,Sans finition,4,15.00,12.80,10.30,8.00,5.70,4.40,3.50,50
flyers,Flyers,📄,flyers-a5,Flyers A5,"Format polyvalent pour prospectus et promotions",FLY-A5-002,A5 (148x210mm),Couché brillant,135g,RECTO_VERSO,Sans finition,4,18.00,15.30,12.40,9.60,6.80,5.30,4.20,50
flyers,Flyers,📄,flyers-a5,Flyers A5,"Format polyvalent pour prospectus et promotions",FLY-A5-003,A5 (148x210mm),Couché mat,170g,RECTO,Sans finition,4,17.00,14.50,11.70,9.10,6.40,5.00,4.00,50
flyers,Flyers,📄,flyers-a5,Flyers A5,"Format polyvalent pour prospectus et promotions",FLY-A5-004,A5 (148x210mm),Couché mat,170g,RECTO_VERSO,Sans finition,4,20.00,17.00,13.70,10.70,7.50,5.90,4.70,50
flyers,Flyers,📄,flyers-a4,Flyers A4,"Grand format pour communications détaillées",FLY-A4-001,A4 (210x297mm),Couché brillant,135g,RECTO,Sans finition,4,20.00,17.00,13.70,10.70,7.50,5.90,4.70,50
flyers,Flyers,📄,flyers-a4,Flyers A4,"Grand format pour communications détaillées",FLY-A4-002,A4 (210x297mm),Couché brillant,135g,RECTO_VERSO,Sans finition,4,25.00,21.30,17.10,13.30,9.40,7.30,5.90,50
flyers,Flyers,📄,flyers-a4,Flyers A4,"Grand format pour communications détaillées",FLY-A4-003,A4 (210x297mm),Couché mat,170g,RECTO,Sans finition,4,22.00,18.70,15.10,11.80,8.30,6.40,5.20,50
flyers,Flyers,📄,flyers-a4,Flyers A4,"Grand format pour communications détaillées",FLY-A4-004,A4 (210x297mm),Couché mat,170g,RECTO_VERSO,Sans finition,4,28.00,23.80,19.20,15.00,10.50,8.20,6.60,50
affiches,Affiches,🖼️,affiches-a3,Affiches A3,"Format A3 pour affichage intérieur",AFF-A3-001,A3 (297x420mm),Couché brillant,135g,RECTO,Sans finition,5,8.00,6.80,5.50,4.30,3.00,2.30,1.90,55
affiches,Affiches,🖼️,affiches-a3,Affiches A3,"Format A3 pour affichage intérieur",AFF-A3-002,A3 (297x420mm),Couché mat,170g,RECTO,Sans finition,5,10.00,8.50,6.90,5.40,3.80,2.90,2.40,55
affiches,Affiches,🖼️,affiches-a2,Affiches A2,"Grand format pour impact visuel",AFF-A2-001,A2 (420x594mm),Couché brillant,135g,RECTO,Sans finition,5,12.00,10.20,8.20,6.40,4.50,3.50,2.80,55
affiches,Affiches,🖼️,affiches-a2,Affiches A2,"Grand format pour impact visuel",AFF-A2-002,A2 (420x594mm),Couché mat,170g,RECTO,Sans finition,5,15.00,12.80,10.30,8.00,5.70,4.40,3.50,55
affiches,Affiches,🖼️,affiches-a1,Affiches A1,"Très grand format pour maximum de visibilité",AFF-A1-001,A1 (594x841mm),Couché brillant,135g,RECTO,Sans finition,6,20.00,17.00,13.70,10.70,7.50,5.90,4.70,55
affiches,Affiches,🖼️,affiches-a1,Affiches A1,"Très grand format pour maximum de visibilité",AFF-A1-002,A1 (594x841mm),Couché mat,170g,RECTO,Sans finition,6,25.00,21.30,17.10,13.30,9.40,7.30,5.90,55
depliants,Dépliants,📑,depliants-2-volets,Dépliants 2 volets,"Dépliant simple avec 1 pli",DEP-2V-001,A5 fermé (A4 ouvert),Couché mat,170g,RECTO_VERSO,Sans finition,5,25.00,21.30,17.10,13.30,9.40,7.30,5.90,55
depliants,Dépliants,📑,depliants-2-volets,Dépliants 2 volets,"Dépliant simple avec 1 pli",DEP-2V-002,A5 fermé (A4 ouvert),Couché brillant,170g,RECTO_VERSO,Sans finition,5,25.00,21.30,17.10,13.30,9.40,7.30,5.90,55
depliants,Dépliants,📑,depliants-2-volets,Dépliants 2 volets,"Dépliant simple avec 1 pli",DEP-2V-003,DL fermé (A4 ouvert),Couché mat,170g,RECTO_VERSO,Sans finition,5,22.00,18.70,15.10,11.80,8.30,6.40,5.20,55
depliants,Dépliants,📑,depliants-3-volets,Dépliants 3 volets,"Dépliant classique avec 2 plis",DEP-3V-001,DL fermé (A4 ouvert),Couché mat,170g,RECTO_VERSO,Sans finition,5,28.00,23.80,19.20,15.00,10.50,8.20,6.60,55
depliants,Dépliants,📑,depliants-3-volets,Dépliants 3 volets,"Dépliant classique avec 2 plis",DEP-3V-002,DL fermé (A4 ouvert),Couché brillant,170g,RECTO_VERSO,Sans finition,5,28.00,23.80,19.20,15.00,10.50,8.20,6.60,55
depliants,Dépliants,📑,depliants-3-volets,Dépliants 3 volets,"Dépliant classique avec 2 plis",DEP-3V-003,A5 fermé (A4 ouvert),Couché mat,250g,RECTO_VERSO,Pelliculage mat,6,35.00,29.80,24.00,18.70,13.20,10.20,8.20,60
brochures,Brochures,📚,brochures-agrafees,Brochures agrafées,"Brochure avec reliure agrafée (piqûre à cheval)",BRO-AGR-001,A5 (8 pages),Couché mat,170g,RECTO_VERSO,Sans finition,7,45.00,38.30,30.90,24.00,17.00,13.10,10.50,55
brochures,Brochures,📚,brochures-agrafees,Brochures agrafées,"Brochure avec reliure agrafée (piqûre à cheval)",BRO-AGR-002,A5 (12 pages),Couché mat,170g,RECTO_VERSO,Sans finition,7,55.00,46.80,37.70,29.40,20.70,16.10,12.90,55
brochures,Brochures,📚,brochures-agrafees,Brochures agrafées,"Brochure avec reliure agrafée (piqûre à cheval)",BRO-AGR-003,A5 (16 pages),Couché mat,170g,RECTO_VERSO,Sans finition,7,65.00,55.30,44.60,34.70,24.50,19.00,15.20,55
brochures,Brochures,📚,brochures-agrafees,Brochures agrafées,"Brochure avec reliure agrafée (piqûre à cheval)",BRO-AGR-004,A4 (8 pages),Couché mat,170g,RECTO_VERSO,Sans finition,7,60.00,51.00,41.10,32.00,22.60,17.50,14.00,55
brochures,Brochures,📚,brochures-dos-carre,Brochures dos carré collé,"Brochure avec reliure dos carré collé (plus de 40 pages)",BRO-DCC-001,A5 (40 pages),Couché mat,135g,RECTO_VERSO,Sans finition,10,120.00,102.00,82.30,64.10,45.20,35.00,28.00,60
brochures,Brochures,📚,brochures-dos-carre,Brochures dos carré collé,"Brochure avec reliure dos carré collé (plus de 40 pages)",BRO-DCC-002,A5 (60 pages),Couché mat,135g,RECTO_VERSO,Sans finition,10,150.00,127.50,102.80,80.10,56.50,43.80,35.00,60
autocollants,Autocollants,✨,autocollants-papier,Autocollants papier,"Étiquettes papier pour usage intérieur",AUT-PAP-001,Rectangle 50x30mm,Papier blanc,80g,RECTO,Sans finition,5,8.00,6.80,5.50,4.30,3.00,2.30,1.90,50
autocollants,Autocollants,✨,autocollants-papier,Autocollants papier,"Étiquettes papier pour usage intérieur",AUT-PAP-002,Rectangle 100x50mm,Papier blanc,80g,RECTO,Sans finition,5,12.00,10.20,8.20,6.40,4.50,3.50,2.80,50
autocollants,Autocollants,✨,autocollants-papier,Autocollants papier,"Étiquettes papier pour usage intérieur",AUT-PAP-003,Rond 50mm,Papier blanc,80g,RECTO,Sans finition,5,10.00,8.50,6.90,5.40,3.80,2.90,2.40,50
autocollants,Autocollants,✨,autocollants-vinyle,Autocollants vinyle,"Étiquettes vinyle résistantes pour usage extérieur",AUT-VIN-001,Rectangle 50x30mm,Vinyle blanc,90µ,RECTO,Pelliculage brillant,6,15.00,12.80,10.30,8.00,5.70,4.40,3.50,55
autocollants,Autocollants,✨,autocollants-vinyle,Autocollants vinyle,"Étiquettes vinyle résistantes pour usage extérieur",AUT-VIN-002,Rectangle 100x50mm,Vinyle blanc,90µ,RECTO,Pelliculage brillant,6,22.00,18.70,15.10,11.80,8.30,6.40,5.20,55
